ds,yhat,yhat_lower,yhat_upper
2010-12-01,42465.37320037258,29334.285857452414,56196.30847761205
2010-12-02,50846.28611481442,37894.924944339655,64099.451729892004
2010-12-03,39688.29960995987,25955.23007383957,52818.11115502517
2010-12-05,27310.719816444875,14203.6756947146,40747.81865108704
2010-12-06,38473.48947586071,25241.686825571385,50962.375518781686
2010-12-07,42205.43890446788,28280.015346156135,53780.98031730531
2010-12-08,36253.852852051044,22605.30991914869,49486.319796479125
2010-12-09,43596.272671264975,29818.982854921727,57076.80240713303
2010-12-10,31438.86923093246,17916.235550567835,45033.63347993054
2010-12-12,17273.926303755674,4192.091825161322,30642.97389645659
2010-12-13,27693.943602134223,14326.23846971323,42007.80818982793
2010-12-14,30811.397466908897,17618.81992853775,44329.997137165985
2010-12-15,24391.570200852657,11231.973140984619,38465.70936630043
2010-12-16,31427.18771924792,17627.181877294686,44606.069525075676
2010-12-17,19136.338984565482,5166.229256079302,31696.694978217245
2010-12-19,5253.735980689231,-7601.711623361817,19539.824493060176
2010-12-20,16094.084613977431,3099.9860843448027,30321.209662114634
2010-12-21,19814.031356780637,6498.002390268643,32659.240265928547
2010-12-22,14170.633943354453,1227.674410345353,28530.5303078157
2010-12-23,22144.30581903269,8714.329119884358,35310.26865410946
2011-01-04,23171.615512193177,9195.572508776866,36184.52827352611
2011-01-05,19818.177074159536,6265.682241277415,32732.585843789137
2011-01-06,29895.398436791293,16671.253960830352,43977.32388828418
2011-01-07,20563.801881639407,6582.476511021582,34154.81716965522
2011-01-09,12131.258191959452,-748.3263704702724,25644.96120616322
2011-01-10,25359.974513232824,11506.514786801563,38837.26659589557
2011-01-11,31183.433690015667,18036.975196269123,43213.64902644414
2011-01-12,27320.886029856287,13793.637375493383,40723.3262345494
2011-01-13,36722.02103321171,23610.40060301785,49360.39873045676
2011-01-14,26565.821849544274,13841.744403734068,39863.05218684894
2011-01-16,16128.132175627392,1887.4097124005098,28611.887785221326
2011-01-17,28227.27630398051,14150.485698914028,41414.98073245524
2011-01-18,32873.308117322034,19135.524648018727,45500.35635181021
2011-01-19,27814.177960506593,13664.872645152485,40927.22546528556
2011-01-20,36028.29684110236,22244.00741741564,50886.96114356661
2011-01-21,24722.68270837402,10515.497304960412,38175.97516521255
2011-01-23,12203.599154065558,-1835.0496435355599,26121.68004864572
2011-01-24,23417.447727763356,9580.338967482292,37148.760529635074
2011-01-25,27308.047021651997,14374.116483719454,40646.000637585865
2011-01-26,21638.70874743817,9241.04512647843,35235.44055750446
2011-01-27,29399.314637069918,16191.839955313006,42185.62674191832
2011-01-28,17804.23033666944,2969.681625979118,31311.95944604517
2011-01-30,5206.481752899068,-8479.405927312431,18807.94840670408
2011-01-31,16624.66232957832,2933.488584252368,30188.12174876113
2011-02-01,20870.994960823682,7180.545355747124,34507.60833317684
2011-02-02,15695.875437073833,2048.9656270471164,28678.53798974661
2011-02-03,24073.021823133793,10220.050040642212,37242.738061991804
2011-02-04,13197.86715597569,197.372511226011,27281.732187654834
2011-02-06,2263.8940262308242,-12341.00617190991,15311.062815222234
2011-02-07,14579.359591010612,1683.4625389110718,27948.57963496598
2011-02-08,19734.525365394868,6053.205914229352,34477.752750876156
2011-02-09,15455.965942065788,3075.2232371527934,29443.910741921332
